node_id,site_lat,site_long,site_name
202498,45.045003,7.6609632,"Torino Corso Unione Sovietica, 91"
202499,45.0450073,7.6609574,Torino
202789,45.0336684,7.67461,"Torino Via Gianfranco Zuretti, 29"
202790,45.0336628,7.67461,Torino
202792,45.0785114,7.6330979,"Torino Via Baveno, 46"
202793,45.119487,7.7447502,"Torino Strada Settimo, 366"
202794,45.1194885,7.7447491,Torino
202795,45.0353652,7.667221,Torino Via Ermanno Fenoglietti c/o Eataly
202796,45.0354609,7.6667078,Torino Via Ermanno Fenoglietti c/o Eataly
202880,45.1078354,7.6248151,Torino Corso Ferrara
202881,45.1078336,7.6248155,Torino
202882,45.1306588,7.7162796,"Torino Via degli Ulivi, 37"
202883,45.1306553,7.7162837,Torino
202884,45.0694112,7.667046,"Torino Corso Matteotti, 42"
202885,45.0694162,7.6670518,Torino
202892,45.0709809,7.6325739,"Torino Corso Peschiera, 275"
202893,45.0709787,7.6325737,Torino
202894,45.098398,7.6518157,Torino Corso Toscana
202895,45.0983955,7.6518115,Torino
202941,45.1081353,7.6848857,"Torino Via Ala di Stura, 77/C"
202942,45.1081317,7.6848837,Torino
202943,45.1095835,7.6653863,"Torino Via Giorgio De Geneys, 18"
202944,45.1049542,7.6765101,"Torino Corso Grosseto, 122"
202945,45.0701624,7.6182357,"Torino Via Francesco De Sanctis, 54"
202946,45.0701612,7.6182341,Torino
202947,45.031657,7.6513648,"Torino Corso Eusebio Giambone, 43"
202948,45.0316517,7.6513597,Torino
203016,45.0574888,7.6623572,"Torino Via Cristoforo Colombo, 26"
203017,45.0574871,7.6623589,Torino
203052,45.0751798,7.656577,Torino Via Susa
203053,45.0751768,7.6565795,Torino
203126,45.0717145,7.6420632,"Torino Via Capriolo, 18"
203127,45.081309,7.6952016,"Torino Via Carlo Pedrotti, 5"
203128,45.0813089,7.695199,Torino
203133,45.0847776,7.6795877,"Torino Strada del Fortino, 28"
203134,45.1043109,7.6948546,"Torino Piazza Rebaudengo, 21"
203135,45.1043082,7.6948554,Torino
203136,45.0661518,7.6923792,"Torino Via Principe Amedeo, 47"
203137,45.1012946,7.6388411,"Torino Corso Molise, 32"
203138,45.101298,7.6388354,Torino
203146,45.0762481,7.6858975,Torino
203147,45.1171162,7.7009392,Torino Strada dell'Antioca
203149,45.061166,7.6392871,Torino Telecom Via Lancia
203150,45.061164,7.639287,Torino
203171,45.0922193,7.6777202,"Torino Via Stradella, 30"
203172,45.0922223,7.677718,Torino
203193,45.0099864,7.6852239,Moncalieri Strada Torino
203194,45.0732624,7.6717159,"Torino Via Bertola, 49"
203195,45.0732675,7.6717116,Torino
203229,45.0796768,7.6839737,"Torino Via Borgo Dora, 22"
203230,45.0796794,7.6839707,Torino
203231,45.0422031,7.6723085,"Torino Corso Bramante, 80"
203232,45.0422019,7.6723088,Torino
203233,45.0996601,7.6592696,"Torino Corso Potenza, 135"
203234,45.0996594,7.6592689,Torino
203235,45.0477181,7.6799535,"Torino Corso Massimo D'Azeglio, 21"
203236,45.074647,7.6978834,"Torino Lungo Dora Firenze, 129"
203237,45.0746516,7.6978863,Torino
203241,45.099025,7.6813149,"Torino Via Breglio, 34"
203242,45.0990264,7.6813118,Torino
203243,45.0649997,7.6817589,"Torino Via Piero Gobetti, 15"
203244,45.0650041,7.6817602,Torino
203256,45.0794895,7.6370605,"Torino Corso Monte Grappa, 39"
203257,45.0794862,7.6370595,"Torino Corso Monte Grappa, 39"
203270,45.0239701,7.6545573,"Torino Via Passo Buole, 59"
203306,45.0901086,7.6890236,"Torino Corso Vercelli, 64"
203307,45.0901074,7.689023,Torino
203314,45.0493338,7.6613507,"Torino Corso Re Umberto, 139"
203315,45.0493291,7.6613479,Torino
203317,45.0733881,7.7242215,"Torino Via Oropa, 134"
203318,45.073391,7.724224,Torino
203347,45.0899075,7.7011177,Torino
203348,45.087254,7.6994175,Torino Via Giovanni Pacini
203349,45.1261071,7.6627218,Torino Svincolo Uscita Borgaro
203350,45.1261022,7.6627219,Torino
203387,45.0562884,7.6524446,"Torino Corso Lione, 70"
203388,45.0562884,7.6524466,Torino
203389,45.0624146,7.629463,"Torino Corso Monte Cucco, 146"
203390,45.0624092,7.6294611,Torino
203393,45.1083945,7.6512853,"Torino Via Andrea Sansovino, 217"
203394,45.1083888,7.6512856,Torino
203395,45.065432,7.6956943,"Torino Piazza Vittorio Veneto, 13"
203396,45.0685059,7.6436196,Torino
203397,45.0692828,7.6401694,"Torino Via Frassineto, 40"
203398,45.0739042,7.7172567,"Torino Corso Belgio, 95"
203400,45.0362555,7.623685,"Torino Corso Enrico Tazzoli, 160"
203430,45.0963241,7.6940525,"Torino Via Renato Martorelli, 52"
203431,45.0963215,7.6940496,Torino
203467,45.0382279,7.6566014,"Torino Via Filadelfia, 42"
203468,45.0382331,7.6566061,Torino
203483,45.0789478,7.6494615,"Torino Corso Svizzera, 29"
203484,45.0789475,7.6494609,Torino
203485,45.0728902,7.6292445,"Torino Corso Peschiera, 342"
203486,45.0728911,7.6292426,Torino
203524,45.0741137,7.6413894,"Torino Corso Trapani, 16"
203597,45.023533,7.6675091,"Torino Via Ventimiglia, 156"
203659,45.03908,7.6517871,"Torino Corso Unione Sovietica, 214"
203696,45.0672388,7.6964474,Torino
203697,45.0692275,7.6946405,"Torino Via Sant'Ottavio, 20"
203709,45.0270136,7.6361134,"Torino Corso Giovanni Agnelli, 200"
203758,45.0752237,7.6693057,Torino Corso San Martino
203774,45.0753486,7.6698497,"Torino Via Boucheron, 15"
203845,45.0877963,7.6879638,"Torino Via Pinerolo, 22/24"
203867,45.017803,7.6527098,"Torino Via Onorato Vigliani, 161"
203868,45.0178005,7.6527106,Torino
203869,45.101981,7.7009195,"Torino Via Sandro Botticelli, 2"
203870,45.1019806,7.7009196,Torino Piazza Derna
203896,45.0659015,7.6472997,"Torino Corso Peschiera, 186"
203897,45.0658989,7.647295,Torino
203898,45.031864,7.6148818,"Torino Corso Orbassano, 448"
203963,44.9906227,7.5011071,"Rivalta di Torino ZI Via I Maggio, 91"
204042,45.0301642,7.6185723,"Torino Corso Luigi Settembrini, 178"
204046,45.0710885,7.6842424,Torino Piazza Castello
204049,45.0714892,7.6839238,"Torino Via Giuseppe Garibaldi, 5"
204050,45.0714891,7.6839258,Torino
204093,45.1368682,7.6707273,"Torino Strada del Francese, 117"
204162,45.0588407,7.649519,Torino Via Osasco
204235,45.0634406,7.6309136,Torino Corso Monte Cucco
204237,45.0165123,7.6547836,Torino Via Monastir
204238,45.0978143,7.7063418,"Torino Via Giuseppe Tartini, 44"
204239,45.0978146,7.7063456,Torino
204310,45.0526201,7.6519779,Torino Corso Adriatico
204322,45.0666292,7.7147211,"Torino Via Montemagno, 37"
204323,45.0666322,7.7147208,Torino
204324,45.0570008,7.7045576,Torino Strada Santa Margherita
204325,45.0593395,7.6686408,"Torino Via Valeggio, 26"
204326,45.0387685,7.6812592,"Torino Corso Sicilia, 47"
204327,45.0387742,7.6812584,Torino
204456,45.0747622,7.6296649,"Torino Corso Francia, 257"
204460,45.0447069,7.6812447,Torino Corso Galileo Galilei
204462,45.129041,7.6700926,Torino Strada del Francese
204463,45.1290485,7.6700953,Torino
204589,45.0847801,7.6795869,"Torino Strada del Fortino, 28"
204596,45.0462836,7.6453597,"Torino Corso Orbassano, 126"
204601,45.0633262,7.6948763,"Torino Via Alfonso Bonafous, 5"
204603,45.099958,7.6447191,"Torino Corso Lucio Quinzio Cincinnato, 168"
204604,45.0999561,7.6447161,Torino
204606,45.0390122,7.6421877,"Torino Piazza Montanari, 168"
204608,45.0287533,7.6426542,Torino Corso Unione Sovietica
204662,45.1072418,7.6454521,"Torino Corso Grosseto, 366"
204663,45.1072496,7.6454513,Torino
204664,45.0852168,7.6672819,"Torino Via Graziadio Ascoli, 27"
204665,45.0852203,7.6672827,Torino
204744,45.0218877,7.6628401,"Torino Via Nizza, 352"
204745,45.0218902,7.6628354,Torino
204748,45.0761176,7.6633106,"Torino Corso Francia, 17"
204749,45.0761184,7.6633078,Torino
204809,45.0633266,7.6948796,Torino
204812,45.0596452,7.6885956,"Torino Corso Vittorio Emanuele II, 12"
204818,45.1060846,7.7430728,"Torino Strada del Cascinotto, 163"
205133,45.0736665,7.6606847,"Torino Via Pietro Palmieri, 40"
205134,45.0736647,7.6606843,Torino
205135,45.1058182,7.6927679,Torino
205137,45.0947877,7.6508408,"Torino Via Verolengo, 195"
205206,45.0561323,7.6722947,"Torino Via Paolo Sacchi, 58"
205207,45.0561287,7.6722938,Torino
205212,45.0663269,7.7145638,"Torino Via Montemagno, 34"
205243,45.0437842,7.7030809,Torino Strada Antica di Revigliasco
205244,45.0437893,7.7030856,Torino
205245,45.0956266,7.7118668,"Torino Corso Taranto, 176"
205247,45.0654173,7.6573595,Torino
205303,45.1065868,7.7268427,"Torino Strada Settimo, 153"
205304,45.070777,7.6463215,"Torino Corso Racconigi, 32"
205332,45.063889,7.6618639,Torino
205362,45.0586784,7.6853223,"Torino Via Galliari, 31"
205451,45.1188458,7.7334328,Torino Strada della Cebrosa
205453,45.0668655,7.6810821,Torino
205462,45.0610244,7.6710232,"Torino Corso Re Umberto, 34"
205463,45.0610237,7.6710236,Torino
205522,45.0639419,7.6745995,"Torino Corso Vittorio Emanuele II, 71"
205587,45.0146943,7.6821105,"Moncalieri Strada Torino, 82"
205598,45.0692993,7.7068934,Torino Corso Regina Margherita
205599,45.0693018,7.7068911,Torino Corso Regina Margherita
205600,45.0636692,7.6672391,"Torino Corso Stati Uniti, 35"
205601,45.0425109,7.6480709,Torino Corso Agnelli
205657,45.0366525,7.6515648,Torino Corso Unione Sovietica
205661,45.1030439,7.7381519,Torino Strada da Bertolla all'Abbadia
205662,45.1030424,7.7381536,Torino
205712,45.1404344,8.4481165,Casale Monferrato Via Torino
205715,45.0743721,7.6811153,"Torino Via San Domenico, 5"
205716,45.0743777,7.6811127,Torino
205718,45.0512317,7.6674304,"Torino Corso Filippo Turati, 39"
205719,45.0512325,7.6674276,Torino
205787,45.0998515,7.3587844,Sant'Ambrogio di Torino Via Sestriere
205907,45.0684866,7.6696218,"Torino Corso Giacomo Matteotti, 32"
205908,45.0684843,7.6696277,Torino
206084,45.0933713,7.6715413,"Torino Corso Benedetto Brin, 29"
206085,45.0933742,7.6715404,Torino
206087,45.3078486,7.536233,Corio Stradale Torino
206135,45.091714,7.6974156,Torino Via Brandizzo
206136,45.0917153,7.6974141,Torino
206138,45.0753613,7.7449561,Torino Strada al Traforo di Pino
206139,45.0753578,7.744952,Torino Strada al Traforo di Pino
206142,45.0154594,7.5669002,Orbassano Strada Torino
206206,45.067544,7.7221636,"Torino Via Michelangelo Tonello, 24"
206207,45.0675502,7.7221674,Torino
206210,45.0602436,7.6452481,"Torino Corso Racconigi, 158"
206263,45.0925646,7.7084183,"Torino Via Sempione, 256"
206373,45.0189974,7.6787913,Torino Corso Moncalieri
206375,45.0599039,7.6674583,"Torino Corso Galileo Ferraris, 71"
206376,45.0599062,7.6674582,Torino
206380,45.0945172,7.6920258,"Torino Via Leinì, 87"
206381,45.0945191,7.6920266,Torino
206382,45.0769426,7.6097434,"Torino Corso Francia, 426"
206554,44.9275231,7.8353192,Poirino Via Torino
206712,45.5576909,8.0618709,"Biella Via Torino, 55"
206719,45.0518729,7.6469217,Torino Via Tripoli
206768,45.0547005,7.7161321,Torino Strada Comunale Santa Margherita
206769,45.054702,7.7161317,Torino
206823,45.1109746,7.6420181,Torino Juventus Stadium Nord Est
206824,45.1084563,7.6401273,Torino
206825,45.109416,7.6425045,Torino Juventus Stadium Sud Est
206829,45.0869247,7.654172,Torino Corso Regina Margherita
206830,45.0428929,7.67503,Torino Via Ormea
206831,45.0397282,7.6577273,Torino Via Tunisi
206840,45.1052547,7.6715089,"Torino Corso Grosseto, 170"
206841,45.1052631,7.6715126,Torino
206897,45.0778723,7.6749522,"Torino Corso Valdocco, 15"
206898,45.0778716,7.6749484,Torino
206907,45.0688664,7.7002877,"Torino Via Santa Giulia, 49"
206908,45.068871,7.7002869,"Torino Via Santa Giulia, 49"
206912,45.0561323,7.6722975,"Torino Via Paolo Sacchi, 58"
206962,45.0792618,7.6752317,"Torino Corso Principe Eugenio, 2"
206963,45.0792589,7.6752288,Torino
206983,39.324643,16.242564,Rende Via Torino 2.0
207014,45.1951971,7.575476,Robassomero Via Torino
207015,45.0761874,7.6433207,Torino Corso Lecce
207115,45.0414044,7.650502,Torino
207332,45.0805439,7.6673093,Torino Via Pinelli
207336,45.0297878,7.6886255,"Torino Viale XXV Aprile, 193/C"
207338,45.0297839,7.6886215,Torino
207415,45.1091411,7.6400359,Torino Juventus Stadium
207590,44.8854281,7.3349219,Pinerolo Telecom Corso Torino
207691,45.096451,7.6801302,Torino Via Saorgio
207692,45.096452,7.6801256,Torino
207693,45.0567745,7.6837048,"Torino Via Baretti, 33"
208026,39.324905,16.2417241,Cosenza Via Torino
208088,45.0983627,7.6677412,"Torino Piazza Luigi Mattirolo, 12"
208089,45.0983621,7.6677449,"Torino Piazza Luigi Mattirolo, 12"
208102,45.0827276,7.6755365,"Torino Via Salerno, 29"
208199,45.0278714,7.5254156,Rivalta di Torino Viale Vif
208200,44.9998227,7.5066835,Rivalta di Torino Via I Maggio
208359,45.0731185,7.6715524,"Torino Corso Palestro, 20"
208655,45.0654355,7.6484189,Torino Via Perosa
208660,45.0658697,7.6959305,Torino
301966,42.2054978,14.5949276,Torino di Sangro Marina T-Mast
302134,42.2001226,14.5509521,Torino di Sangro Contrada Montesecco
310095,42.2201484,14.5704175,Torino di Sangro Loc. Lago Dragoni SS16
400677,40.9026497,14.1184123,Castello Monteleone Via Torino
450563,40.2883937,16.5683954,Montalbano Jonico Telecom Via Torino
450960,39.9222745,18.157599,Ugento Via Torino
500651,45.5428761,9.0966468,Bollate Via Torino
502104,45.4611489,9.185253,Milano Via Torino
502689,45.3123784,8.8472964,Vigevano Corso Torino
502998,45.7422906,8.6781425,Mercallo Via Torino
503664,45.4620624,9.1860216,Milano Via Torino
600296,38.141191,15.2168103,Barcellona Pozzo di Gotto Via Torino
650028,39.3249035,16.2417255,Rende Via Torino
650206,38.4257055,15.8960213,Gioia Tauro Telecom Via Torino
650297,39.0779943,17.1197284,Crotone Via Torino
700280,45.4813625,12.247099,Venezia Mestre Telecom Via Torino
701670,45.7992446,11.7165075,Pove del Grappa Via Torino
702069,45.6466403,13.7630953,Trieste Via Torino
702809,45.4802836,12.2549324,Venezia Mestre Via Torino IUAV/Campus Scientific
703370,45.3472927,11.8779573,Albignasego Via Torino
703942,45.7264313,11.6553232,Marostica ZI Via Torino
900002,45.0980375,7.6528835,Torino Corso Toscana
900003,45.046519,7.7098828,Torino Strada Comunale di Val Salice
900004,45.0889365,7.6585317,Torino Corso Svizzera
900005,45.1021559,7.6372765,Torino Corso Molise
900006,45.0390711,7.6245819,Torino Via F. Gonin
900007,45.1057982,7.7021207,"Torino Corso Giulio Cesare, 271"
900008,45.0443294,7.644987,Torino Via Tripoli
900009,45.0654379,7.6484213,Torino Via Perosa
900010,45.0714547,7.6073504,Torino Via Vandalino
900011,45.016862,7.6322114,Torino Via Pavese
900012,45.0292552,7.6862955,Torino Via all'Asilo
900014,45.0556958,7.6732579,Torino Via Sacchi
900015,45.0166777,7.6128946,Torino Strada del Drosso
900016,45.0740153,7.6581061,Torino Via Goffredo Casalis
900017,45.0270295,7.647068,Torino Telecom Via Sidoli
900018,45.0276689,7.6266742,Torino Corso G. Agnelli
900019,45.0814383,7.6610739,Torino Via San Donato
900020,45.0355042,7.6456452,Torino Via Sarpi
900021,45.0597379,7.6883855,Torino Corso Vittorio Emanuele II
900022,45.0676691,7.611672,Torino Via Chambery
